date,corridor,country,stablecoin,exchange_or_provider,off_ramp_fee_pct,fiat_withdrawal_fee_pct,estimated_off_ramp_time_hours,kyc_required_flag,compliance_delay_hours,local_bank_dependency_flag,source_name,source_url_or_reference,data_provider,publication_date,extraction_date,vintage_date,update_frequency,license_or_usage_note,raw_file_name,raw_file_hash_sha256,transformation_script,methodology_version,observed_vs_estimated_flag,official_vs_manual_flag,mock_data_flag,source_id,credibility_tier,blockchain_network,jurisdiction,data_quality_score,data_quality_grade,missing_data_pct,imputation_flag,outlier_flag,unit_of_measure,currency,time_zone,date_granularity,confidence_score
2024-12-01,US → Mexico,Mexico,USDC,Demo Exchange,1.1263037718229667,0.6509985212722271,10.746981634207444,True,9.707326365920695,True,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Mexico,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
2024-12-01,US → Mexico,Mexico,USDC,Local OTC,0.9539666840002602,0.768300887994418,17.933436921854263,True,12.829183375026055,True,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Mexico,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
2024-12-01,US → Mexico,Mexico,USDC,Mobile Wallet Partner,0.356858002455453,0.43502092838076356,22.489475645526223,True,27.423595046456544,True,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Mexico,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
2024-12-01,US → Mexico,Mexico,USDT,Demo Exchange,1.2514460982198587,0.4734405163660298,23.706012194122106,True,20.57392621470184,True,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Mexico,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
2024-12-01,US → Mexico,Mexico,USDT,Local OTC,0.629442812495325,0.6714689254738422,21.043313496299923,True,9.751793553454323,True,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Mexico,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
2024-12-01,US → Mexico,Mexico,USDT,Mobile Wallet Partner,0.9553308366349946,0.16774595719150048,5.172303643449626,True,33.05991279117523,True,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Mexico,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
2024-12-01,US → Mexico,Mexico,PYUSD,Demo Exchange,1.298131031048663,0.6229128327522052,4.45120811399238,True,22.303235634646118,True,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Mexico,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
2024-12-01,US → Mexico,Mexico,PYUSD,Local OTC,0.6174259258413832,0.6777505425210184,6.795010385912806,True,11.341109824417407,True,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Mexico,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
2024-12-01,US → Mexico,Mexico,PYUSD,Mobile Wallet Partner,1.3145324243730525,0.14792601936831706,13.267658644351009,True,16.074544826914494,True,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Mexico,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
2024-12-01,US → Philippines,Philippines,USDC,Demo Exchange,1.3059306443269452,0.5373460095984542,10.200183620729183,True,24.344469801896707,False,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Philippines,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
2024-12-01,US → Philippines,Philippines,USDC,Local OTC,1.0145338848462395,0.5627406971583999,20.245610128571553,True,40.28921188625444,False,Synthetic Demo Data,N/A,Stablecoin Lab generator,,2026-06-01,,monthly,Do not use for research conclusions or investment decisions.,,n/a,stablecoin_lab/src/data/build_dataset.py,stablecoin-lab-credible-1.0,estimated,official,True,MOCK_DEMO_ONLY,5,,Philippines,30,Demo only,0.0,False,False,USD,USD,UTC,daily,0.1
