date,quarter,remittance_cost_proxy,fee_pct,fx_margin_pct,provider_count,corridor,source_id
2022-01-01,2022Q1,0.0419141512392632,0.014448549730135398,0.0244485497301354,2,United States→Mexico,corridor_remittance_cost_proxy
2022-04-01,2022Q2,0.0391980920926836,0.0158949539283969,0.0258949539283969,2,United States→Mexico,corridor_remittance_cost_proxy
2022-07-01,2022Q3,0.0357150165335106,0.01441465397051145,0.02441465397051145,2,United States→Mexico,corridor_remittance_cost_proxy
2022-10-01,2022Q4,0.0346581576270353,0.014284422049036901,0.0242844220490369,2,United States→Mexico,corridor_remittance_cost_proxy
2023-01-01,2023Q1,0.0350367406892156,0.015559869474420548,0.02555986947442055,2,United States→Mexico,corridor_remittance_cost_proxy
2023-04-01,2023Q2,0.0259513906851525,0.01348668389879875,0.023486683898798752,2,United States→Mexico,corridor_remittance_cost_proxy
2023-07-01,2023Q3,0.0262416431419951,0.01468328134353905,0.024683281343539053,2,United States→Mexico,corridor_remittance_cost_proxy
2023-10-01,2023Q4,0.0234124810632328,0.014468349626397349,0.02446834962639735,2,United States→Mexico,corridor_remittance_cost_proxy
2024-01-01,2024Q1,0.0210319011629367,0.013260040170033,0.023260040170033,2,United States→Mexico,corridor_remittance_cost_proxy
2024-04-01,2024Q2,0.0255209244123721,0.0143347407856987,0.0243347407856987,2,United States→Mexico,corridor_remittance_cost_proxy
2024-07-01,2024Q3,0.02,0.014366833606750801,0.0243668336067508,2,United States→Mexico,corridor_remittance_cost_proxy
2024-10-01,2024Q4,0.0209054528404432,0.015309696187286701,0.0253096961872867,4,United States→Mexico,corridor_remittance_cost_proxy
