strategy,total_return_pct,ann_return_pct,ann_vol_pct,sharpe,max_drawdown_pct,win_rate_pct,fold,sample,period
legacy,-6.51,-6.49,5.85,-1.117,-9.26,49.4,0,out_of_sample,2006-09-14_2007-09-13
flat_range,-4.77,-4.75,5.19,-0.912,-7.08,35.2,0,out_of_sample,2006-09-14_2007-09-13
legacy,-0.77,-0.77,5.45,-0.114,-5.59,49.0,1,out_of_sample,2007-09-14_2008-09-13
flat_range,-0.13,-0.13,5.14,0.001,-5.18,42.7,1,out_of_sample,2007-09-14_2008-09-13
legacy,21.22,21.31,23.05,0.952,-17.22,52.2,2,out_of_sample,2008-09-14_2009-09-13
flat_range,19.57,19.65,22.89,0.897,-18.35,49.4,2,out_of_sample,2008-09-14_2009-09-13
legacy,-12.57,-12.61,11.06,-1.164,-17.07,49.0,3,out_of_sample,2009-09-14_2010-09-13
flat_range,-13.47,-13.52,10.3,-1.358,-16.3,41.8,3,out_of_sample,2009-09-14_2010-09-13
legacy,-1.83,-1.84,8.11,-0.188,-10.5,49.0,4,out_of_sample,2010-09-14_2011-09-13
flat_range,1.53,1.53,7.18,0.248,-7.03,41.4,4,out_of_sample,2010-09-14_2011-09-13
legacy,5.26,5.26,14.1,0.434,-9.85,51.2,5,out_of_sample,2011-09-14_2012-09-13
flat_range,4.48,4.48,13.97,0.383,-10.37,48.8,5,out_of_sample,2011-09-14_2012-09-13
legacy,-13.28,-13.33,9.65,-1.434,-13.47,47.4,6,out_of_sample,2012-09-14_2013-09-13
flat_range,-11.55,-11.6,9.09,-1.311,-11.75,42.2,6,out_of_sample,2012-09-14_2013-09-13
legacy,0.65,0.65,7.18,0.126,-7.09,52.0,7,out_of_sample,2013-09-14_2014-09-13
flat_range,-2.94,-2.96,6.33,-0.444,-6.66,36.4,7,out_of_sample,2013-09-14_2014-09-13
legacy,27.12,27.49,10.16,2.442,-5.0,59.0,8,out_of_sample,2014-09-14_2015-09-13
flat_range,24.91,25.25,10.05,2.291,-5.0,55.8,8,out_of_sample,2014-09-14_2015-09-13
legacy,-8.11,-8.11,13.75,-0.547,-15.35,46.4,9,out_of_sample,2015-09-14_2016-09-13
flat_range,-7.01,-7.01,13.19,-0.485,-13.86,41.7,9,out_of_sample,2015-09-14_2016-09-13
legacy,6.01,6.06,14.67,0.475,-12.16,53.6,10,out_of_sample,2016-09-14_2017-09-13
flat_range,-1.76,-1.77,13.73,-0.061,-15.31,50.4,10,out_of_sample,2016-09-14_2017-09-13
legacy,-8.89,-8.92,11.65,-0.744,-15.69,48.6,11,out_of_sample,2017-09-14_2018-09-13
flat_range,-7.79,-7.82,11.26,-0.667,-14.68,45.0,11,out_of_sample,2017-09-14_2018-09-13
legacy,-7.26,-7.4,10.14,-0.708,-14.35,47.8,12,out_of_sample,2018-09-14_2019-09-13
flat_range,-10.18,-10.37,8.06,-1.318,-14.53,32.0,12,out_of_sample,2018-09-14_2019-09-13
legacy,8.75,8.83,18.64,0.546,-15.66,51.6,13,out_of_sample,2019-09-14_2020-09-13
flat_range,9.1,9.18,18.35,0.57,-14.95,45.6,13,out_of_sample,2019-09-14_2020-09-13
legacy,-5.4,-5.48,11.22,-0.446,-15.55,50.4,14,out_of_sample,2020-09-14_2021-09-13
flat_range,-2.75,-2.8,10.26,-0.225,-10.69,38.7,14,out_of_sample,2020-09-14_2021-09-13
legacy,-16.22,-16.34,10.62,-1.626,-20.59,48.8,15,out_of_sample,2021-09-14_2022-09-13
flat_range,-15.76,-15.87,10.01,-1.676,-22.38,42.0,15,out_of_sample,2021-09-14_2022-09-13
legacy,10.24,10.33,10.0,1.033,-7.55,58.0,16,out_of_sample,2022-09-14_2023-09-13
flat_range,13.71,13.83,9.36,1.431,-5.52,51.6,16,out_of_sample,2022-09-14_2023-09-13
legacy,12.98,13.04,13.23,0.992,-9.24,51.8,17,out_of_sample,2023-09-14_2024-09-13
flat_range,5.86,5.89,12.46,0.521,-10.03,44.6,17,out_of_sample,2023-09-14_2024-09-13
legacy,15.76,15.96,11.4,1.356,-5.45,52.2,18,out_of_sample,2024-09-14_2025-09-13
flat_range,14.34,14.52,10.98,1.29,-5.83,49.0,18,out_of_sample,2024-09-14_2025-09-13
legacy,-0.66,-0.99,7.96,-0.086,-7.79,53.0,19,out_of_sample,2025-09-14_2026-05-15
flat_range,-1.45,-2.17,7.62,-0.25,-6.52,44.6,19,out_of_sample,2025-09-14_2026-05-15
