split,primary_sharpe,primary_return_pct,rw_sharpe,beats_rw,ticker
split_1,0.075,0.42,0.0,True,USDMXN=X
split_2,0.363,10.92,0.0,True,USDMXN=X
split_3,0.317,3.82,0.0,True,USDMXN=X
split_1,-0.201,-14.38,0.0,False,USDBRL=X
split_2,0.048,-0.78,0.0,True,USDBRL=X
split_3,-0.709,-12.34,0.0,False,USDBRL=X
split_1,-0.318,-16.49,0.0,False,USDCOP=X
split_2,0.041,-1.65,0.0,True,USDCOP=X
split_3,-0.367,-8.53,0.0,False,USDCOP=X
split_1,-0.367,-6.65,0.0,False,USDJPY=X
split_2,0.776,25.54,0.0,True,USDJPY=X
split_3,-0.08,-1.55,0.0,False,USDJPY=X
split_1,-0.004,-0.49,0.0,False,EURUSD=X
split_2,0.067,0.7,0.0,True,EURUSD=X
split_3,0.487,4.71,0.0,True,EURUSD=X
split_1,-1.045,-19.17,0.0,False,USDINR=X
split_2,0.042,0.25,0.0,True,USDINR=X
split_3,0.838,6.79,0.0,True,USDINR=X
split_1,-0.455,-8.61,0.0,False,USDPHP=X
split_2,0.49,9.92,0.0,True,USDPHP=X
split_3,0.316,3.69,0.0,True,USDPHP=X
split_1,0.156,3.84,0.0,True,USDZAR=X
split_2,-0.203,-10.49,0.0,False,USDZAR=X
split_3,-0.088,-8.23,0.0,False,USDZAR=X
split_1,1.097,101.52,0.0,True,USDTRY=X
split_2,3.212,154.86,0.0,True,USDTRY=X
split_3,5.127,29.2,0.0,True,USDTRY=X
