entity,sdi_min,sdi_max,sdi_mean,sdi_range
Saudi Arabia | remittance operator,99.93424657534247,99.97534246575343,99.95616438356164,0.041095890410957736
Mexico | remittance operator,99.93424657534247,99.97534246575343,99.95616438356164,0.041095890410957736
Brazil | remittance operator,99.93424657534247,99.97534246575343,99.95616438356164,0.041095890410957736
United States | remittance operator,99.93424657534247,99.97534246575343,99.95616438356164,0.041095890410957736
United Kingdom | remittance operator,99.93424657534247,99.97534246575343,99.95616438356164,0.041095890410957736
Philippines | remittance operator,99.93424657534247,99.97534246575343,99.95616438356164,0.041095890410957736
Euro Area | remittance operator,99.93424657534247,99.97534246575343,99.95616438356164,0.041095890410957736
Colombia | remittance operator,99.93424657534247,99.97534246575343,99.95616438356164,0.041095890410957736
India | remittance operator,99.93424657534247,99.97534246575343,99.95616438356164,0.041095890410957736
Nigeria | remittance operator,99.93424657534247,99.97534246575343,99.95616438356164,0.041095890410957736
Brazil | ACH/batch payment,99.95616438356164,99.98356164383561,99.97077625570778,0.027397260273971824
Mexico | ACH/batch payment,99.95616438356164,99.98356164383561,99.97077625570778,0.027397260273971824
India | ACH/batch payment,99.95616438356164,99.98356164383561,99.97077625570778,0.027397260273971824
Nigeria | ACH/batch payment,99.95616438356164,99.98356164383561,99.97077625570778,0.027397260273971824
Philippines | ACH/batch payment,99.95616438356164,99.98356164383561,99.97077625570778,0.027397260273971824
Euro Area | ACH/batch payment,99.95616438356164,99.98356164383561,99.97077625570778,0.027397260273971824
Colombia | ACH/batch payment,99.95616438356164,99.98356164383561,99.97077625570778,0.027397260273971824
Saudi Arabia | ACH/batch payment,99.95616438356164,99.98356164383561,99.97077625570778,0.027397260273971824
United Kingdom | ACH/batch payment,99.95616438356164,99.98356164383561,99.97077625570778,0.027397260273971824
United States | ACH/batch payment,99.95616438356164,99.98356164383561,99.97077625570778,0.027397260273971824
Philippines | card network,99.97808219178083,99.99178082191781,99.98538812785388,0.013698630136985912
Saudi Arabia | card network,99.97808219178083,99.99178082191781,99.98538812785388,0.013698630136985912
Mexico | card network,99.97808219178083,99.99178082191781,99.98538812785388,0.013698630136985912
Nigeria | card network,99.97808219178083,99.99178082191781,99.98538812785388,0.013698630136985912
United Kingdom | card network,99.97808219178083,99.99178082191781,99.98538812785388,0.013698630136985912
India | card network,99.97808219178083,99.99178082191781,99.98538812785388,0.013698630136985912
Colombia | card network,99.97808219178083,99.99178082191781,99.98538812785388,0.013698630136985912
Brazil | card network,99.97808219178083,99.99178082191781,99.98538812785388,0.013698630136985912
Euro Area | card network,99.97808219178083,99.99178082191781,99.98538812785388,0.013698630136985912
United States | card network,99.97808219178083,99.99178082191781,99.98538812785388,0.013698630136985912
Nigeria | mobile money,99.98904109589041,99.9958904109589,99.99269406392693,0.006849315068492956
Philippines | mobile money,99.98904109589041,99.9958904109589,99.99269406392693,0.006849315068492956
Colombia | mobile money,99.98904109589041,99.9958904109589,99.99269406392693,0.006849315068492956
India | mobile money,99.98904109589041,99.9958904109589,99.99269406392693,0.006849315068492956
Brazil | mobile money,99.98904109589041,99.9958904109589,99.99269406392693,0.006849315068492956
United States | mobile money,99.98904109589041,99.9958904109589,99.99269406392693,0.006849315068492956
Euro Area | mobile money,99.98904109589041,99.9958904109589,99.99269406392693,0.006849315068492956
United Kingdom | mobile money,99.98904109589041,99.9958904109589,99.99269406392693,0.006849315068492956
Mexico | mobile money,99.98904109589041,99.9958904109589,99.99269406392693,0.006849315068492956
Saudi Arabia | mobile money,99.98904109589041,99.9958904109589,99.99269406392693,0.006849315068492956
Saudi Arabia | RTGS/wire,99.99912328767124,99.99967123287671,99.99941552511416,0.0005479452054686362
Brazil | RTGS/wire,99.99912328767124,99.99967123287671,99.99941552511416,0.0005479452054686362
United Kingdom | RTGS/wire,99.99912328767124,99.99967123287671,99.99941552511416,0.0005479452054686362
Philippines | RTGS/wire,99.99912328767124,99.99967123287671,99.99941552511416,0.0005479452054686362
Euro Area | RTGS/wire,99.99912328767124,99.99967123287671,99.99941552511416,0.0005479452054686362
Nigeria | RTGS/wire,99.99912328767124,99.99967123287671,99.99941552511416,0.0005479452054686362
United States | RTGS/wire,99.99912328767124,99.99967123287671,99.99941552511416,0.0005479452054686362
India | RTGS/wire,99.99912328767124,99.99967123287671,99.99941552511416,0.0005479452054686362
Colombia | RTGS/wire,99.99912328767124,99.99967123287671,99.99941552511416,0.0005479452054686362
Mexico | RTGS/wire,99.99912328767124,99.99967123287671,99.99941552511416,0.0005479452054686362
United Kingdom | tokenized settlement placeholder,99.99956164383562,99.99983561643836,99.99970776255708,0.00027397260274142354
Mexico | tokenized settlement placeholder,99.99956164383562,99.99983561643836,99.99970776255708,0.00027397260274142354
Philippines | tokenized settlement placeholder,99.99956164383562,99.99983561643836,99.99970776255708,0.00027397260274142354
Nigeria | tokenized settlement placeholder,99.99956164383562,99.99983561643836,99.99970776255708,0.00027397260274142354
India | tokenized settlement placeholder,99.99956164383562,99.99983561643836,99.99970776255708,0.00027397260274142354
Euro Area | tokenized settlement placeholder,99.99956164383562,99.99983561643836,99.99970776255708,0.00027397260274142354
Colombia | tokenized settlement placeholder,99.99956164383562,99.99983561643836,99.99970776255708,0.00027397260274142354
Brazil | tokenized settlement placeholder,99.99956164383562,99.99983561643836,99.99970776255708,0.00027397260274142354
Saudi Arabia | tokenized settlement placeholder,99.99956164383562,99.99983561643836,99.99970776255708,0.00027397260274142354
United States | tokenized settlement placeholder,99.99956164383562,99.99983561643836,99.99970776255708,0.00027397260274142354
