settlement_drag_cost_usd,settlement_drag_cost_per_100,settlement_drag_index,sdi_core,sdi_risk_adjusted,sdi_extended,capital_cost_usd,fx_exposure_cost_usd,failure_cost_usd,operational_cost_usd,interpretation,sensitivity_case,methodology_version,limitations,data_quality_score,data_quality_grade,mock_data_flag,source_id,sdi_core_risk,sdi_risk_adjusted_risk,sdi_extended_risk,entity,entity_type,country,payment_system,rail_type
2751.0058883834286,0.027397260273972605,99.97260273972603,99.97260273972603,99.97260273972603,98.99264496319856,2751.0058883834286,0.0,0.0,0.0,Low settlement drag (estimated),baseline,settlement-lab-credible-1.0,"SDI estimates settlement drag under stated cost-of-capital and lag assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",30.0,Demo only,True,MOCK_DEMO_ONLY,99.97260273972603,99.04264496319855,99.04264496319855,Brazil | ACH/batch payment,rail,Brazil,ACH/batch payment,ach
57.04798530160954,0.0005479452054794521,99.99945205479452,99.99945205479452,99.99945205479452,99.11899653712271,57.04798530160954,0.0,0.0,0.0,Low settlement drag (estimated),baseline,settlement-lab-credible-1.0,"SDI estimates settlement drag under stated cost-of-capital and lag assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",30.0,Demo only,True,MOCK_DEMO_ONLY,99.99945205479452,99.16899653712271,99.16899653712271,Brazil | RTGS/wire,rail,Brazil,RTGS/wire,rtgs
1344.9474684396168,0.013698630136986302,99.98630136986301,99.98630136986301,99.98630136986301,98.88748802067487,1344.9474684396168,0.0,0.0,0.0,Low settlement drag (estimated),baseline,settlement-lab-credible-1.0,"SDI estimates settlement drag under stated cost-of-capital and lag assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",30.0,Demo only,True,MOCK_DEMO_ONLY,99.98630136986301,98.93748802067488,98.93748802067488,Brazil | card network,rail,Brazil,card network,card
669.3825102477397,0.006849315068493151,99.9931506849315,99.9931506849315,99.9931506849315,98.59041749599157,669.3825102477397,0.0,0.0,0.0,Low settlement drag (estimated),baseline,settlement-lab-credible-1.0,"SDI estimates settlement drag under stated cost-of-capital and lag assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",30.0,Demo only,True,MOCK_DEMO_ONLY,99.9931506849315,98.64041749599157,98.64041749599157,Brazil | mobile money,rail,Brazil,mobile money,mobile
4017.62830297999,0.04109589041095891,99.95890410958904,99.95890410958904,99.95890410958904,97.55645389836249,4017.62830297999,0.0,0.0,0.0,Low settlement drag (estimated),baseline,settlement-lab-credible-1.0,"SDI estimates settlement drag under stated cost-of-capital and lag assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",30.0,Demo only,True,MOCK_DEMO_ONLY,99.95890410958904,97.6064538983625,97.6064538983625,Brazil | remittance operator,rail,Brazil,remittance operator,remittance
27.300648091919907,0.00027397260273972606,99.99972602739726,99.99972602739726,99.99972602739726,98.81340202415412,27.300648091919907,0.0,0.0,0.0,Low settlement drag (estimated),baseline,settlement-lab-credible-1.0,"SDI estimates settlement drag under stated cost-of-capital and lag assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",30.0,Demo only,True,MOCK_DEMO_ONLY,99.99972602739726,98.86340202415411,98.86340202415411,Brazil | tokenized settlement placeholder,rail,Brazil,tokenized settlement placeholder,tokenized
2563.238362795295,0.027397260273972605,99.97260273972603,99.97260273972603,99.97260273972603,98.93184721598037,2563.238362795295,0.0,0.0,0.0,Low settlement drag (estimated),baseline,settlement-lab-credible-1.0,"SDI estimates settlement drag under stated cost-of-capital and lag assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",30.0,Demo only,True,MOCK_DEMO_ONLY,99.97260273972603,98.98184721598037,98.98184721598037,Colombia | ACH/batch payment,rail,Colombia,ACH/batch payment,ach
50.72555633960508,0.0005479452054794521,99.99945205479452,99.99945205479452,99.99945205479452,99.01922783051963,50.72555633960508,0.0,0.0,0.0,Low settlement drag (estimated),baseline,settlement-lab-credible-1.0,"SDI estimates settlement drag under stated cost-of-capital and lag assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",30.0,Demo only,True,MOCK_DEMO_ONLY,99.99945205479452,99.06922783051962,99.06922783051962,Colombia | RTGS/wire,rail,Colombia,RTGS/wire,rtgs
1346.939810863255,0.013698630136986302,99.98630136986301,99.98630136986301,99.98630136986301,98.88874355327677,1346.939810863255,0.0,0.0,0.0,Low settlement drag (estimated),baseline,settlement-lab-credible-1.0,"SDI estimates settlement drag under stated cost-of-capital and lag assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",30.0,Demo only,True,MOCK_DEMO_ONLY,99.98630136986301,98.93874355327677,98.93874355327677,Colombia | card network,rail,Colombia,card network,card
737.1195433191039,0.006849315068493151,99.9931506849315,99.9931506849315,99.9931506849315,98.66877875603927,737.1195433191039,0.0,0.0,0.0,Low settlement drag (estimated),baseline,settlement-lab-credible-1.0,"SDI estimates settlement drag under stated cost-of-capital and lag assumptions. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",30.0,Demo only,True,MOCK_DEMO_ONLY,99.9931506849315,98.71877875603928,98.71877875603928,Colombia | mobile money,rail,Colombia,mobile money,mobile
