total_friction_per_100,estimated_cost_borne_by_consumer_pct,estimated_cost_borne_by_merchant_pct,estimated_cost_borne_by_bank_pct,estimated_cost_borne_by_network_pct,estimated_cost_borne_by_recipient_pct,estimated_cost_borne_by_processor_pct,pass_through_assumption,assumptions,methodology_version,limitations,entity,entity_type,country,rail_type,data_quality_score,data_quality_grade,mock_data_flag,source_id
0.7205479452054795,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina | BIS CPMI — Argentina - Value of cashless payments, card and e-money payments with cards and",rail,Argentina,card,30.0,Demo only,,MOCK_DEMO_ONLY
0.5910958904109589,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina | BIS CPMI — Argentina - Value of cashless payments, cheques",rail,Argentina,cheque,30.0,Demo only,,MOCK_DEMO_ONLY
0.5773972602739725,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina | BIS CPMI — Argentina - Value of cashless payments, credit transfers",rail,Argentina,ach,30.0,Demo only,,MOCK_DEMO_ONLY
0.5773972602739725,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina | BIS CPMI — Argentina - Value of cashless payments, direct debits",rail,Argentina,direct_debit,30.0,Demo only,,MOCK_DEMO_ONLY
0.5568493150684931,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Argentina | BIS CPMI — Argentina - Value of cashless payments, fast payments, other",rail,Argentina,e_money,30.0,Demo only,,MOCK_DEMO_ONLY
0.350054794520548,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",Argentina | BIS CPMI — instant (total),rail,Argentina,instant,30.0,Demo only,,MOCK_DEMO_ONLY
0.7205479452054795,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Australia | BIS CPMI — Australia - Value of cashless payments, card and e-money payments with cards and",rail,Australia,card,30.0,Demo only,,MOCK_DEMO_ONLY
0.5910958904109589,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Australia | BIS CPMI — Australia - Value of cashless payments, cheques",rail,Australia,cheque,30.0,Demo only,,MOCK_DEMO_ONLY
0.5773972602739725,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Australia | BIS CPMI — Australia - Value of cashless payments, domestic credit transfers",rail,Australia,ach,30.0,Demo only,,MOCK_DEMO_ONLY
0.5773972602739725,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Australia | BIS CPMI — Australia - Value of cashless payments, domestic direct debits",rail,Australia,direct_debit,30.0,Demo only,,MOCK_DEMO_ONLY
0.5568493150684931,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Australia | BIS CPMI — Australia - Value of cashless payments, other payment instruments",rail,Australia,e_money,30.0,Demo only,,MOCK_DEMO_ONLY
0.350054794520548,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.",Australia | BIS CPMI — instant (total),rail,Australia,instant,30.0,Demo only,,MOCK_DEMO_ONLY
0.7205479452054795,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Belgium | BIS CPMI — Belgium - Value of cashless payments, card and e-money payments with cards and e",rail,Belgium,card,30.0,Demo only,,MOCK_DEMO_ONLY
0.5910958904109589,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Belgium | BIS CPMI — Belgium - Value of cashless payments, cheques",rail,Belgium,cheque,30.0,Demo only,,MOCK_DEMO_ONLY
0.5773972602739725,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Belgium | BIS CPMI — Belgium - Value of cashless payments, credit transfers",rail,Belgium,ach,30.0,Demo only,,MOCK_DEMO_ONLY
0.5773972602739725,25.0,35.0,15.0,10.0,15.0,0.0,baseline,Model-based pass-through; not observed incidence.,settlement-lab-credible-1.0,"Incidence estimates are model-based and require empirical validation. Legal and economic incidence may differ. Measurement framework only — estimates settlement economics under stated assumptions. Does not prove causal effects without identification. Not financial advice, not investment recommendation, not operational guidance for live payment systems.","Belgium | BIS CPMI — Belgium - Value of cashless payments, direct debits",rail,Belgium,direct_debit,30.0,Demo only,,MOCK_DEMO_ONLY
